Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total Consumo
mar-16;575.720,92;486.255,94;1.107.296,65;1.061.976,86;3.024.439,51
abr-16;545.605,47;467.472,20;1.149.175,19;1.013.077,67;2.986.416,34
may-16;551.000,79;468.710,38;1.019.984,40;1.019.711,17;3.027.930,37
jun-16;537.583,25;450.758,18;888.538,10;988.341,43;2.692.557,21
jul-16;562.778,84;465.270,48;883.716,04;1.028.049,32;2.675.544,15
ago-16;585.748,50;485.995,83;866.270,02;1.071.744,33;2.640.585,02
sep-16;548.491,65;456.946,75;877.800,56;1.005.438,40;2.585.204,70
oct-16;573.754,73;476.277,64;916.410,70;1.050.032,37;2.731.114,44
nov-16;547.323,53;463.726,21;1.019.671,97;1.011.049,74;2.809.730,04
dic-16;615.251,51;524.242,31;1.113.827,10;1.139.493,82;3.168.031,09
ene-17;546.212,16;477.291,93;1.079.339,30;1.023.504,09;2.945.171,93
feb-17;526.888,94;453.665,32;1.052.536,01;980.554,26;2.757.973,29
mar-17;592.249,34;523.943,60;1.216.423,42;1.116.192,94;3.055.930,99
abr-17;530.345,96;500.063,03;1.032.813,29;1.030.408,99;2.912.143,42
may-17;588.861,62;516.884,37;1.034.806,24;1.105.745,99;3.000.245,00
jun-17;549.378,05;478.491,95;897.511,89;1.027.870,00;2.749.163,25
jul-17;607.702,70;521.730,41;938.887,64;1.129.433,11;2.930.551,90
ago-17;604.650,34;514.086,57;950.188,14;1.118.736,91;3.004.179,49
sep-17;560.892,67;492.618,55;894.363,58;1.053.511,22;2.859.598,01
oct-17;583.658,83;512.762,32;935.986,17;1.096.421,15;2.852.317,35
nov-17;563.345,61;510.631,29;1.038.598,26;1.073.976,90;2.926.844,62
dic-17;635.423,76;574.097,70;1.117.711,45;1.209.521,46;3.228.791,60
ene-18;581.802,98;528.763,30;1.121.392,53;1.110.566,28;3.124.128,64
feb-18;545.210,00;502.041,67;1.086.758,89;1.047.251,67;2.853.414,29
mar-18;618.402,18;571.052,13;1.210.029,50;1.189.454,31;3.388.812,48
abr-18;565.665,72;526.979,67;1.123.382,75;1.092.645,39;3.190.948,64
may-18;570.129,66;544.395,17;1.017.487,01;1.114.524,83;3.074.194,97
jun-18;554.431,50;518.911,44;937.881,91;1.073.342,94;2.928.754,69
jul-18;589.775,97;541.811,12;958.397,37;1.131.587,09;2.954.974,60
ago-18;593.659,63;570.224,11;1.000.630,58;1.163.883,74;3.168.102,35
sep-18;551.547,83;531.285,29;889.384,94;1.082.833,12;2.942.320,24
oct-18;579.474,43;573.751,47;977.682,12;1.153.225,90;3.153.235,09
nov-18;573.687,35;563.417,57;1.069.786,12;1.137.104,92;3.206.614,65
dic-18;654.281,25;632.670,17;1.114.499,78;1.286.951,42;3.451.940,29
ene-19;601.714,90;596.682,75;1.161.575,14;1.198.397,65;3.292.337,05
feb-19;565.425,02;559.109,22;1.110.627,82;1.124.534,24;3.159.558,95
mar-19;610.720,58;645.266,77;1.236.968,66;1.255.987,35;3.720.674,28
abr-19;598.956,30;657.570,18;1.167.768,50;1.256.526,48;3.589.939,90
may-19;611.592,32;666.748,63;1.144.447,81;1.278.340,95;3.716.101,79
jun-19;595.744,38;641.136,56;1.020.390,82;1.236.880,94;3.361.236,58
