Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total importación
mar/2019; 704.276,53 ; 678.145,38 ;1.550.052,84;1.382.421,91;3.839.044,27
abr/2019; 656.495,95 ; 867.761,34 ;1.255.075,62;1.524.257,29;4.126.817,59
may/2019; 568.128,41 ; 596.798,22 ;1.011.872,87;1.164.926,63;3.487.600,14
jun/2019; 629.788,43 ; 712.731,80 ;1.029.100,90;1.342.520,23;3.705.525,54
jul/2019; 516.273,85 ; 531.577,64 ;1.056.569,11;1.047.851,49;2.901.188,41
ago/2019; 713.859,98 ; 896.841,31 ;1.167.556,89;1.610.701,29;3.616.711,53
sep/2019; 491.194,71 ; 518.043,68 ;725.041,07;1.009.238,39;2.997.273,94
oct/2019; 691.407,73 ; 712.672,38 ;1.195.576,77;1.404.080,11;3.529.098,65
nov/2019; 658.706,42 ; 791.039,02 ;1.122.990,69;1.449.745,44;3.366.673,20
dic/2019; 797.580,75 ; 731.012,24 ;1.098.972,39;1.528.592,99;3.759.839,25
ene/2020; 573.220,63 ; 629.414,90 ;1.033.194,95;1.202.635,53;3.060.000,75
feb/2020; 611.314,13 ; 741.509,07 ;1.249.319,29;1.352.823,20;4.195.542,75
mar/2020; 809.640,18 ; 735.491,29 ;1.369.326,46;1.545.131,47;4.225.647,93
abr/2020; 453.153,09 ; 329.134,18 ;834.366,52;782.287,27;2.354.671,64
may/2020; 170.292,50 ; 415.805,82 ;694.063,54;586.098,32;2.234.178,42
jun/2020; 415.672,19 ; 683.322,72 ;1.115.093,96;1.098.994,91;3.099.449,08
jul/2020; 347.541,59 ; 451.717,75 ;779.930,57;799.259,34;3.019.007,62
ago/2020; 414.416,34 ; 547.899,55 ;799.256,95;962.315,89;2.529.518,54
sep/2020; 563.742,50 ; 591.799,83 ;1.021.360,83;1.155.542,33;2.914.431,43
oct/2020; 733.692,01 ; 861.840,54 ;891.340,69;1.595.532,55;3.678.195,88
nov/2020; 570.262,17 ; 696.600,14 ;1.197.505,58;1.266.862,31;3.391.204,48
dic/2020; 777.450,55 ; 780.347,28 ;1.050.560,83;1.557.797,83;3.757.338,09
ene/2021; 642.652,37 ; 626.537,48 ;1.187.144,34;1.269.189,85;3.449.656,47
feb/2021; 726.508,78 ; 715.261,34 ;1.078.028,01;1.441.770,12;3.310.059,43
mar/2021; 850.334,64 ; 772.750,01 ;1.358.525,23;1.623.084,65;4.097.942,26
abr/2021; 1.227.173,53 ; 634.408,89 ;1.289.740,17;1.861.582,42;4.068.053,08
may/2021; 649.783,14 ; 669.085,78 ;1.279.017,24;1.318.868,92;4.011.568,33
jun/2021; 623.695,20 ; 833.544,64 ;1.441.596,16;1.457.239,84;3.700.529,32
jul/2021; 689.717,29 ; 833.732,31 ;1.133.666,20;1.523.449,60;3.744.992,59
ago/2021; 685.977,45 ; 664.522,74 ;1.177.849,59;1.350.500,19;4.056.073,17
sep/2021; 646.233,31 ; 844.430,03 ;896.539,24;1.490.663,34;3.470.994,35
oct/2021; 589.405,56 ; 522.701,11 ;1.583.822,56;1.112.106,67;3.941.139,44
nov/2021; 623.392,63 ; 692.267,31 ;1.029.780,80;1.315.659,94;3.300.037,64
dic/2021; 640.981,15 ; 785.313,56 ;1.294.042,31;1.426.294,71;4.004.470,54
ene/2022; 947.207,51 ; 848.902,97 ;1.442.571,28;1.796.110,48;4.672.866,11
feb/2022; 673.653,80 ; 723.925,74 ;1.217.495,31;1.397.579,54;3.989.516,43
mar/2022; 592.318,21 ; 772.406,10 ;1.262.074,10;1.364.724,31;4.547.547,89
abr/2022; 493.951,75 ; 906.104,05 ;1.288.488,28;1.400.055,80;4.311.967,65
may/2022; 663.348,94 ; 762.776,12 ;1.315.493,55;1.426.125,06;3.839.680,95
